feature,nominated_best_picture,won_best_picture,num_of_awards
keyword=quaalude,-0.004519277,-0.001780611,-0.003503954
keyword=based on a novel,-0.004519277,-0.001780611,-0.003503954
keyword=tailor,-0.006391824,-0.002518402,-0.004955806
keyword=22 year old,-0.004519277,-0.001780611,-0.003503954
keyword=commercialism,-0.004519277,-0.001780611,-0.003503954
keyword=falling down an elevator shaft,-0.004519277,-0.001780611,-0.003503954
keyword=emotional abuse,0.045499062,-0.00308469,0.045738363
keyword=black servant,0.041655563,-0.001780611,0.011449065
keyword=9 year old,-0.006391824,-0.002518402,-0.004955806
keyword=electrocuted in bathtub,-0.006391824,-0.002518402,-0.004955806
keyword=shanghai,0.026261792,-0.002518402,0.005618571
keyword=cartographer,-0.006391824,-0.002518402,-0.004955806
keyword=bat,-0.007829091,-0.00308469,-0.00607017
keyword=toy,0.001835166,-0.005345861,-0.000543593
keyword=blood,-0.019484148,0.007257683,-0.003590384
keyword=rain forest,-0.006391824,-0.002518402,-0.004955806
keyword=armored truck,-0.004519277,-0.001780611,-0.003503954
keyword=1969 dodge charger,-0.004519277,-0.001780611,-0.003503954
keyword=bail,0.010548579,-0.003983068,-0.007838032
keyword=post traumatic stress,-0.004519277,-0.001780611,-0.003503954
keyword=illegitimate pregnancy,-0.004519277,-0.001780611,-0.003503954
keyword=husband murders wife,-0.004519277,-0.001780611,-0.003503954
keyword=making of a movie,-0.004519277,-0.001780611,-0.003503954
keyword=wish,-0.007829091,-0.00308469,-0.00607017
keyword=clinic,-0.006391824,-0.002518402,-0.004955806
keyword=brewery,-0.004519277,-0.001780611,-0.003503954
keyword=girlfriend,-0.009041107,-0.003562229,-0.007009888
keyword=supernatural ability,-0.004519277,-0.001780611,-0.003503954
keyword=golden age,0.041655563,-0.001780611,0.011449065
keyword=roast pig,-0.004519277,-0.001780611,-0.003503954
keyword=hippie,-0.006391824,-0.002518402,-0.004955806
keyword=castle,-0.011963641,-0.004713718,-0.003620927
keyword=thong,-0.006391824,-0.002518402,-0.004955806
keyword=plastic surgery,-0.004519277,-0.001780611,-0.003503954
keyword=planet of the apes,-0.004519277,-0.001780611,-0.003503954
keyword=law school,-0.007829091,-0.00308469,-0.00607017
keyword=uncle,0.001835166,-0.005345861,-0.000543593
keyword=white water rafting,-0.004519277,-0.001780611,-0.003503954
keyword=andy warhol,-0.006391824,-0.002518402,-0.004955806
keyword=urban legend,-0.009041107,-0.003562229,-0.007009888
keyword=junkyard,-0.006391824,-0.002518402,-0.004955806
keyword=hidden truth,-0.004519277,-0.001780611,-0.003503954
keyword=joker,-0.004519277,-0.001780611,-0.003503954
keyword=acid trip,-0.004519277,-0.001780611,-0.003503954
keyword=super strength,-0.009041107,-0.003562229,-0.007009888
keyword=colorado,-0.007829091,-0.00308469,-0.00607017
keyword=ramanujan,-0.004519277,-0.001780611,-0.003503954
keyword=money laundering,-0.004519277,-0.001780611,-0.003503954
keyword=stepnicka,-0.004519277,-0.001780611,-0.003503954
keyword=corndog,-0.004519277,-0.001780611,-0.003503954
keyword=whiskey,-0.004519277,-0.001780611,-0.003503954
keyword=south america,-0.006391824,-0.002518402,-0.004955806
keyword=alien friendship,-0.007829091,-0.00308469,-0.00607017
keyword=crown,-0.004519277,-0.001780611,-0.003503954
keyword=road movie,0.005498673,-0.004713718,-0.009275832
keyword=money problems,-0.004519277,-0.001780611,-0.003503954
keyword=song in title,-0.004519277,-0.001780611,-0.003503954
keyword=sexy woman,-0.006391824,-0.002518402,0.037341701
keyword=fake tan,-0.004519277,-0.001780611,-0.003503954
keyword=crucifix,-0.004519277,-0.001780611,-0.003503954
keyword=blue bird of happiness,-0.004519277,-0.001780611,-0.003503954
keyword=crying woman,-0.004519277,-0.001780611,-0.003503954
keyword=human monster,-0.004519277,-0.001780611,-0.003503954
keyword=bear attack,0.041655563,-0.001780611,0.041355104
keyword=male rear nudity,0.000439984,0.016104409,0.004399296
keyword=playboy centerfold,-0.004519277,-0.001780611,-0.003503954
keyword=illegal immigrant,-0.009041107,-0.003562229,-0.007009888
keyword=retiree,-0.004519277,-0.001780611,-0.003503954
keyword=self deprecating,-0.004519277,-0.001780611,-0.003503954
keyword=prosecutor,-0.006391824,-0.002518402,-0.004955806
keyword=testicle,-0.004519277,-0.001780611,-0.003503954
keyword=salesman,-0.015671468,-0.006174615,-0.012150641
keyword=maid,0.037701935,-0.006174615,-0.003508559
keyword=ireland,0.010548579,-0.003983068,0.005541394
keyword=mail,-0.004519277,-0.001780611,-0.003503954
keyword=nba,-0.009041107,-0.003562229,-0.007009888
keyword=smoking marijuana,-0.004519277,-0.001780611,0.011449065
keyword=counterfeit,-0.006391824,-0.002518402,-0.004955806
keyword=failing student,-0.004519277,-0.001780611,-0.003503954
keyword=plumber,-0.007829091,-0.00308469,-0.00607017
keyword=oil spill,-0.004519277,-0.001780611,-0.003503954
keyword=british renaissance,0.058915408,-0.002518402,0.026767324
keyword=knight,-0.003491834,-0.00642735,-0.012647981
keyword=singles,-0.004519277,-0.001780611,-0.003503954
keyword=sleep,-0.004519277,-0.001780611,-0.003503954
keyword=shot multiple times,-0.006391824,-0.002518402,-0.004955806
keyword=safecracking,-0.004519277,-0.001780611,-0.003503954
keyword=hockey mask,-0.007829091,-0.00308469,-0.00607017
keyword=artist,0.013498492,0.06857242,0.069832865
keyword=male objectification,-0.018661581,-0.007352731,-0.010836867
keyword=slovakia,-0.004519277,-0.001780611,-0.003503954
keyword=bush administration,-0.004519277,-0.001780611,-0.003503954
keyword=breast cancer,-0.004519277,-0.001780611,-0.003503954
keyword=confetti,0.041655563,-0.001780611,-0.003503954
keyword=bosnia,-0.004519277,-0.001780611,-0.003503954
keyword=drug reference,-0.004519277,-0.001780611,-0.003503954
keyword=self referential,-0.006391824,-0.002518402,-0.004955806
keyword=four word title,-0.015002873,-0.005911187,-0.011632256
keyword=la dolce vita,-0.004519277,-0.001780611,-0.003503954
keyword=miami,-0.004519277,-0.001780611,-0.003503954
keyword=female star appears nude,-0.006391824,-0.002518402,-0.004955806
keyword=drive in classic,-0.004519277,-0.001780611,-0.003503954
keyword=sirtaki,0.041655563,-0.001780611,0.041355104
keyword=showdown,-0.009041107,-0.003562229,-0.007009888
keyword=warden,-0.006391824,-0.002518402,-0.004955806
keyword=kissing in the rain,-0.004519277,-0.001780611,-0.003503954
keyword=rejecting a marriage proposal,-0.004519277,-0.001780611,-0.003503954
keyword=family restaurant,-0.004519277,-0.001780611,-0.003503954
keyword=screenwriter,-0.009041107,-0.003562229,-0.007009888
keyword=dead teenager,-0.004519277,-0.001780611,-0.003503954
keyword=fem bot,-0.007829091,-0.00308469,-0.00607017
keyword=pill,-0.004519277,-0.001780611,-0.003503954
keyword=heaven,-0.001067512,-0.005911187,-0.002606747
keyword=panama,-0.007829091,-0.00308469,-0.00607017
keyword=foot chase,-0.004519277,-0.001780611,-0.003503954
keyword=modern minstrel,-0.004519277,-0.001780611,-0.003503954
keyword=released from a mental hospital,-0.004519277,-0.001780611,-0.003503954
keyword=tennis player,-0.004519277,-0.001780611,-0.003503954
keyword=individualism,-0.004519277,-0.001780611,-0.003503954
keyword=reference to batman,-0.006391824,-0.002518402,-0.004955806
keyword=comic book history,-0.004519277,-0.001780611,-0.003503954
keyword=reference to howard university,-0.004519277,-0.001780611,-0.003503954
keyword=interracial kiss,-0.004519277,-0.001780611,-0.003503954
keyword=bank robbery,-0.010109217,-0.003983068,-0.007838032
keyword=bisexuality,-0.004519277,-0.001780611,-0.003503954
keyword=zodiac,-0.004519277,-0.001780611,-0.003503954
keyword=reference to led zeppelin,-0.004519277,-0.001780611,-0.003503954
keyword=cross country trip,-0.004519277,-0.001780611,-0.003503954
keyword=filmmaking,-0.006391824,-0.002518402,-0.004955806
keyword=1770s,-0.006391824,-0.002518402,-0.004955806
keyword=high society,-0.004519277,-0.001780611,-0.003503954
keyword=multiple cameos,-0.004519277,-0.001780611,0.056308124
keyword=jack russell terrier,0.041655563,0.105723803,0.071261143
keyword=charles ii,-0.004519277,-0.001780611,-0.003503954
keyword=rockumentary,-0.004519277,-0.001780611,-0.003503954
keyword=cookie,-0.004519277,-0.001780611,-0.003503954
keyword=wealthy,0.041655563,-0.001780611,-0.003503954
keyword=meteor,-0.007829091,-0.00308469,-0.00607017
keyword=slasher flick,-0.006391824,-0.002518402,-0.004955806
keyword=ear wax cleaning,-0.004519277,-0.001780611,-0.003503954
keyword=fantastic four,-0.004519277,-0.001780611,-0.003503954
keyword=bathing a baby,-0.004519277,-0.001780611,0.011449065
keyword=lesbian relationship,-0.007829091,-0.00308469,-0.00607017
keyword=failure,-0.006391824,-0.002518402,-0.004955806
keyword=ears,-0.004519277,-0.001780611,-0.003503954
keyword=whittling,0.041655563,-0.001780611,0.026402085
keyword=driving a car down stairs,-0.004519277,-0.001780611,-0.003503954
keyword=reference to gogol,-0.004519277,-0.001780611,-0.003503954
keyword=united arab emirates,-0.006391824,-0.002518402,-0.004955806
keyword=japanese navy,-0.004519277,-0.001780611,0.011449065
keyword=deacon,-0.004519277,-0.001780611,-0.003503954
keyword=dome,-0.004519277,-0.001780611,-0.003503954
keyword=scissors,-0.007829091,-0.00308469,-0.00607017
keyword=carl jung,-0.004519277,-0.001780611,-0.003503954
keyword=german shepherd,-0.007829091,-0.00308469,-0.00607017
keyword=tough guy,-0.007829091,-0.00308469,-0.00607017
keyword=conclave,-0.004519277,-0.001780611,-0.003503954
keyword=community,0.014052835,-0.003562229,-0.007009888
keyword=inner city,-0.006391824,-0.002518402,-0.004955806
keyword=spy,-0.006704422,-0.011303145,-0.015123733
keyword=sewer,-0.009041107,-0.003562229,-0.007009888
keyword=not taking no for an answer,-0.004519277,-0.001780611,-0.003503954
keyword=space marine,-0.006391824,-0.002518402,0.016192947
keyword=sitcom,0.007784542,-0.004363644,0.003627897
keyword=anthropologist,-0.006391824,-0.002518402,-0.004955806
keyword=five word title,0.026261792,-0.002518402,-0.004955806
keyword=comet,-0.004519277,-0.001780611,-0.003503954
keyword=blockade,-0.004519277,-0.001780611,-0.003503954
keyword=blonde,-0.009041107,-0.003562229,-0.007009888
keyword=impostor,-0.004519277,-0.001780611,-0.003503954
keyword=wealth,0.011015234,-0.006174615,0.009454565
keyword=non profit,-0.004519277,-0.001780611,-0.003503954
keyword=blindfold,-0.004519277,-0.001780611,-0.003503954
keyword=ghost rider,-0.004519277,-0.001780611,-0.003503954
keyword=river,0.009329253,-0.00642735,-0.00019224
keyword=forgiveness,-0.007829091,-0.00308469,-0.00607017
keyword=record label,-0.007829091,-0.00308469,-0.00607017
keyword=religious mother,0.041655563,-0.001780611,0.026402085
keyword=rule,-0.004519277,-0.001780611,-0.003503954
keyword=piano playing,0.041655563,-0.001780611,0.011449065
keyword=death of marine,-0.004519277,-0.001780611,-0.003503954
keyword=subconscious,0.041655563,-0.001780611,0.056308124
keyword=huguenot,-0.004519277,-0.001780611,-0.003503954
keyword=,-0.026822378,-0.010568115,-0.020796335
keyword=music business,-0.006391824,-0.002518402,-0.004955806
keyword=sex with student,-0.004519277,-0.001780611,-0.003503954
keyword=boob job,-0.004519277,-0.001780611,-0.003503954
keyword=freight train,-0.004519277,-0.001780611,-0.003503954
keyword=overflowing bathtub,-0.004519277,-0.001780611,-0.003503954
keyword=woman in military,-0.004519277,-0.001780611,-0.003503954
keyword=rural,-0.004519277,-0.001780611,-0.003503954
keyword=one night stand,0.007784542,-0.004363644,-0.008586942
keyword=matrix,-0.006391824,-0.002518402,0.037341701
keyword=tractor,-0.004519277,-0.001780611,-0.003503954
keyword=ice cream cone,-0.004519277,-0.001780611,-0.003503954
keyword=paris,-0.004519277,-0.001780611,-0.003503954
keyword=resurrection,-0.009041107,-0.003562229,-0.007009888
keyword=blue bra and panties,-0.004519277,-0.001780611,-0.003503954
keyword=misfits,-0.004519277,-0.001780611,-0.003503954
keyword=chipmunk,-0.010109217,-0.003983068,-0.007838032
keyword=oil field,-0.004519277,-0.001780611,-0.003503954
keyword=hiding,-0.004519277,-0.001780611,-0.003503954
keyword=phenomenon,-0.004519277,-0.001780611,-0.003503954
keyword=tire,-0.006391824,-0.002518402,-0.004955806
keyword=paris france,0.029539126,-0.005635564,0.012572979
keyword=stolen money,-0.004519277,-0.001780611,-0.003503954
keyword=nazareth,-0.004519277,-0.001780611,-0.003503954
keyword=piglet,-0.004519277,-0.001780611,-0.003503954
keyword=occult,0.026261792,-0.002518402,0.026767324
keyword=pamphlet,-0.004519277,-0.001780611,-0.003503954
keyword=yukon,-0.004519277,-0.001780611,-0.003503954
keyword=girl,0.011837232,0.00441356,0.012877664
keyword=arrow,-0.004519277,-0.001780611,-0.003503954
keyword=athletic training,-0.004519277,-0.001780611,-0.003503954
keyword=museum,-0.015671468,-0.006174615,-0.012150641
keyword=past,-0.004519277,-0.001780611,-0.003503954
keyword=household appliance,-0.004519277,-0.001780611,-0.003503954
keyword=tintin,-0.004519277,-0.001780611,-0.003503954
keyword=fawn,0.041655563,-0.001780611,0.026402085
keyword=murdered before giving protagonist information,-0.004519277,-0.001780611,-0.003503954
keyword=college town,0.041655563,-0.001780611,0.011449065
keyword=stabbed to death,-0.004519277,-0.001780611,-0.003503954
keyword=convict,0.003545163,-0.005039651,0.000663139
keyword=bounty hunter,-0.017526194,-0.006905384,-0.009722724
keyword=barking,0.041655563,-0.001780611,0.026402085
keyword=golfer,-0.010109217,-0.003983068,-0.007838032
keyword=art dealer,-0.004519277,-0.001780611,-0.003503954
keyword=drug deal,-0.006391824,-0.002518402,-0.004955806
keyword=hat,-0.006391824,-0.002518402,-0.004955806
keyword=giant,-0.010109217,-0.003983068,-0.007838032
keyword=poorhouse,-0.004519277,-0.001780611,-0.003503954
keyword=tombstone arizona,-0.004519277,-0.001780611,-0.003503954
keyword=hijacker,-0.007829091,-0.00308469,-0.00607017
keyword=time paradox,-0.006391824,-0.002518402,-0.004955806
keyword=automobile,0.041655563,-0.001780611,-0.003503954
keyword=crystal,-0.006391824,-0.002518402,-0.004955806
keyword=alternate world,-0.004519277,-0.001780611,-0.003503954
keyword=alter ego,-0.007829091,-0.00308469,-0.00607017
keyword=fictional game show,-0.004519277,-0.001780611,-0.003503954
keyword=crown jewels,-0.004519277,-0.001780611,-0.003503954
keyword=paramedic,-0.010109217,-0.003983068,-0.007838032
keyword=new york yankees,-0.004519277,-0.001780611,-0.003503954
keyword=nurse,0.032887803,0.034176001,0.033396023
keyword=based on comic,0.018834985,-0.00308469,0.037103608
keyword=animate doll,-0.004519277,-0.001780611,-0.003503954
keyword=in medias res,-0.006391824,-0.002518402,-0.004955806
keyword=butchery,-0.004519277,-0.001780611,-0.003503954
keyword=weapon,-0.009041107,-0.003562229,-0.007009888
keyword=mumbai india,-0.004519277,-0.001780611,-0.003503954
keyword=self help group,-0.004519277,-0.001780611,-0.003503954
keyword=ex convict,-0.006391824,-0.002518402,-0.004955806
keyword=obsessive compulsive personality disorder,0.041655563,-0.001780611,0.011449065
keyword=kidnapping,-0.009903539,-0.007977416,-0.012348667
keyword=born in vitro,-0.004519277,-0.001780611,-0.003503954
keyword=last man standing,-0.004519277,-0.001780611,-0.003503954
keyword=canal,-0.004519277,-0.001780611,-0.003503954
keyword=abandoned building,-0.006391824,-0.002518402,-0.004955806
keyword=16th century,0.014052835,-0.003562229,0.000468733
keyword=serial murder,-0.006391824,-0.002518402,-0.004955806
keyword=black college,-0.004519277,-0.001780611,-0.003503954
keyword=13th birthday,-0.004519277,-0.001780611,-0.003503954
keyword=archer,-0.004519277,-0.001780611,-0.003503954
keyword=race,0.003545163,0.032993967,0.016533672
keyword=cleavage,-0.006391824,-0.002518402,-0.004955806
keyword=fictional government agency,-0.004519277,-0.001780611,-0.003503954
keyword=written and directed by cast member,0.006349875,-0.006905384,-0.001990823
keyword=genocide,-0.004519277,-0.001780611,-0.003503954
keyword=amputee,0.026261792,0.073505855,0.058490455
keyword=cash,-0.006391824,-0.002518402,-0.004955806
keyword=u.s. congressman,-0.004519277,-0.001780611,-0.003503954
keyword=chef,-0.015002873,-0.005911187,-0.007119501
keyword=escort,-0.010109217,-0.003983068,-0.007838032
keyword=barrio,-0.006391824,-0.002518402,-0.004955806
keyword=based on stage musical,-0.007829091,-0.00308469,0.002564586
keyword=twin brother and sister,-0.004519277,-0.001780611,-0.003503954
keyword=reference to iron maiden,-0.004519277,-0.001780611,-0.003503954
keyword=heavy metal,-0.006391824,-0.002518402,-0.004955806
keyword=wedding band,-0.004519277,-0.001780611,-0.003503954
keyword=nude model,-0.004519277,-0.001780611,-0.003503954
keyword=wet,0.041655563,0.105723803,0.175932279
keyword=university of oregon,-0.004519277,-0.001780611,-0.003503954
keyword=glass house,-0.004519277,-0.001780611,-0.003503954
keyword=debunking,-0.004519277,-0.001780611,-0.003503954
keyword=concert,0.006349875,-0.006905384,-0.001990823
keyword=main character dies,-0.006391824,-0.002518402,-0.004955806
keyword=profiler,-0.006391824,-0.002518402,-0.004955806
keyword=german,0.040738571,0.026533167,0.042520801
keyword=cockatoo,-0.004519277,-0.001780611,-0.003503954
keyword=reference to cinderella,-0.004519277,-0.001780611,-0.003503954
keyword=cardinal direction in title,0.041655563,-0.001780611,-0.003503954
keyword=rancher,0.005498673,-0.004713718,0.013343787
keyword=male in underwear,-0.004519277,-0.001780611,-0.003503954
keyword=death of husband,-0.007829091,-0.00308469,-0.00607017
keyword=brothers hugging,-0.004519277,-0.001780611,-0.003503954
keyword=transformation,-0.006391824,-0.002518402,0.005618571
keyword=antique,-0.009041107,-0.003562229,-0.007009888
keyword=storm at sea,-0.004519277,-0.001780611,-0.003503954
keyword=toronto maple leafs,-0.004519277,-0.001780611,-0.003503954
keyword=player,-0.004519277,-0.001780611,-0.003503954
keyword=sailor,0.007784542,-0.004363644,0.003627897
keyword=snowplow,-0.004519277,-0.001780611,-0.003503954
keyword=reference to steven spielberg,-0.004519277,-0.001780611,-0.003503954
keyword=beast,-0.006391824,-0.002518402,-0.004955806
keyword=marines,0.041655563,-0.001780611,-0.003503954
keyword=smoker,-0.004519277,-0.001780611,-0.003503954
keyword=free running,-0.006391824,-0.002518402,-0.004955806
keyword=alderman,-0.004519277,-0.001780611,-0.003503954
keyword=reference to the exploited,-0.004519277,-0.001780611,-0.003503954
keyword=affair,0.005498673,-0.004713718,-0.003620927
keyword=dc arrowverse,-0.004519277,-0.001780611,-0.003503954
keyword=jewish nazi,-0.004519277,-0.001780611,-0.003503954
keyword=insect in title,-0.004519277,-0.001780611,-0.003503954
keyword=scout,-0.004519277,-0.001780611,-0.003503954
keyword=earth viewed from space,-0.004519277,-0.001780611,-0.003503954
keyword=beavis and butt head,-0.004519277,-0.001780611,-0.003503954
keyword=veterinarian,-0.009041107,-0.003562229,-0.007009888
keyword=marital rape,-0.004519277,-0.001780611,-0.003503954
keyword=bookstore,-0.007829091,-0.00308469,-0.00607017
keyword=spruce goose,0.041655563,-0.001780611,0.071261143
keyword=indonesia,-0.004519277,-0.001780611,-0.003503954
keyword=robot as pathos,-0.004519277,-0.001780611,-0.003503954
keyword=troy,-0.004519277,-0.001780611,-0.003503954
keyword=child protagonist,-0.004519277,-0.001780611,-0.003503954
keyword=studio,-0.004519277,-0.001780611,-0.003503954
keyword=wheelchair,-0.007829091,-0.00308469,-0.00607017
keyword=courtship,-0.007829091,-0.00308469,0.002564586
keyword=tron,-0.004519277,-0.001780611,-0.003503954
keyword=washington d.c. lobbyist,-0.004519277,-0.001780611,-0.003503954
keyword=italian restaurant,-0.004519277,-0.001780611,-0.003503954
keyword=unlikely criminal,-0.004519277,-0.001780611,-0.003503954
keyword=1960s,0.038816726,0.032205052,0.036558988
keyword=chorus girl,0.026261792,-0.002518402,-0.004955806
keyword=watching someone,-0.006391824,-0.002518402,-0.004955806
keyword=detective,-0.012937811,0.01747358,0.008518411
keyword=puppeteer,-0.004519277,-0.001780611,-0.003503954
keyword=new friend,-0.004519277,-0.001780611,-0.003503954
keyword=statue of liberty,-0.004519277,-0.001780611,-0.003503954
keyword=pirate radio,-0.004519277,-0.001780611,-0.003503954
keyword=lap dance,-0.006391824,-0.002518402,-0.004955806
keyword=student nurse,0.041655563,-0.001780611,-0.003503954
keyword=baby,-0.017977491,-0.010259784,-0.012357001
keyword=celtic mythology,-0.004519277,-0.001780611,-0.003503954
keyword=insurance policy,0.041655563,-0.001780611,-0.003503954
keyword=razorfish,-0.004519277,-0.001780611,-0.003503954
keyword=thomas jefferson,-0.004519277,-0.001780611,-0.003503954
keyword=fair trade,-0.004519277,-0.001780611,-0.003503954
keyword=trailer home,-0.004519277,-0.001780611,-0.003503954
keyword=stabbed with glass,-0.004519277,-0.001780611,-0.003503954
keyword=french and indian war,-0.004519277,-0.001780611,0.011449065
keyword=bag over head,-0.004519277,-0.001780611,-0.003503954
keyword=highway travel,-0.013568051,-0.005345861,-0.010519787
keyword=healing,0.026261792,-0.002518402,-0.004955806
keyword=russian nobleman,-0.004519277,-0.001780611,-0.003503954
keyword=progeria,-0.004519277,-0.001780611,-0.003503954
keyword=navy seal,0.014052835,-0.003562229,0.000468733
keyword=threesome,-0.004519277,-0.001780611,-0.003503954
keyword=coarse language,-0.004519277,-0.001780611,-0.003503954
keyword=pacemaker,-0.004519277,-0.001780611,-0.003503954
keyword=haute cuisine,-0.004519277,-0.001780611,-0.003503954
keyword=based on opera,-0.004519277,-0.001780611,-0.003503954
keyword=punching bag,-0.004519277,-0.001780611,-0.003503954
keyword=loss of loved one,-0.007829091,-0.00308469,-0.00607017
keyword=tail,-0.004519277,-0.001780611,-0.003503954
keyword=woman in a towel,-0.004519277,-0.001780611,-0.003503954
keyword=character repeating someone else's dialogue,-0.004519277,-0.001780611,-0.003503954
keyword=narrated by a girl,-0.004519277,-0.001780611,-0.003503954
keyword=satire,-0.015671468,-0.006174615,-0.012150641
keyword=hemophagia,-0.004519277,-0.001780611,-0.003503954
keyword=autopsy,-0.004519277,-0.001780611,-0.003503954
keyword=mascot,-0.004519277,-0.001780611,-0.003503954
keyword=paleontologist,-0.004519277,-0.001780611,-0.003503954
keyword=war effort,0.041655563,-0.001780611,0.011449065
keyword=freedom,0.005498673,-0.004713718,0.013343787
keyword=lake tahoe nevada,0.026261792,0.073505855,0.058490455
keyword=after dark horrorfest,-0.007829091,-0.00308469,-0.00607017
keyword=male nurse,-0.006391824,-0.002518402,-0.004955806
keyword=film director,-0.006391824,-0.002518402,-0.004955806
keyword=pan am,-0.004519277,-0.001780611,-0.003503954
keyword=half brothers,-0.004519277,-0.001780611,-0.003503954
keyword=nuclear weapon,-0.006391824,-0.002518402,-0.004955806
keyword=safari,0.026261792,-0.002518402,-0.004955806
keyword=english,0.064363574,0.03954552,0.064702094
keyword=two timing,-0.004519277,-0.001780611,-0.003503954
keyword=dna,-0.004519277,-0.001780611,-0.003503954
keyword=battlefield,0.026261792,0.073505855,0.047916078
keyword=genghis khan,-0.004519277,-0.001780611,-0.003503954
keyword=police van,-0.004519277,-0.001780611,-0.003503954
keyword=bromance,-0.007829091,-0.00308469,-0.00607017
keyword=crete,0.041655563,-0.001780611,0.041355104
keyword=chop socky,-0.006391824,-0.002518402,-0.004955806
keyword=h.p. lovecraft,-0.004519277,-0.001780611,-0.003503954
keyword=nudist,-0.006391824,-0.002518402,-0.004955806
keyword=dinosaur feature,-0.004519277,-0.001780611,-0.003503954
keyword=question mark in title,-0.006391824,-0.002518402,-0.004955806
keyword=genius,0.003545163,-0.005039651,0.011243494
keyword=miniaturization,-0.007829091,-0.00308469,-0.00607017
keyword=marriage ceremony,-0.004519277,-0.001780611,-0.003503954
keyword=terrier,-0.004519277,-0.001780611,-0.003503954
keyword=hometown,-0.006391824,-0.002518402,-0.004955806
keyword=hasselblad camera,-0.006391824,-0.002518402,-0.004955806
keyword=character says i love you,-0.006391824,-0.002518402,-0.004955806
keyword=pink,-0.004519277,-0.001780611,-0.003503954
keyword=el train,-0.004519277,-0.001780611,-0.003503954
keyword=oil drilling,-0.004519277,-0.001780611,-0.003503954
keyword=snake,-0.012790875,-0.005039651,-0.009917216
keyword=ring,0.029539126,0.028389153,0.069363828
keyword=raver,-0.004519277,-0.001780611,-0.003503954
keyword=faked death,-0.007829091,-0.00308469,-0.00607017
keyword=country music,0.031206374,-0.003983068,0.01892082
keyword=servant,0.02664422,-0.004363644,-0.002479523
keyword=espionage,-0.012790875,-0.005039651,-0.004627038
keyword=diamond,-0.019204421,-0.007566612,-0.014889864
keyword=underdog,-0.009041107,-0.003562229,-0.007009888
keyword=ufo,-0.012790875,-0.005039651,0.000663139
keyword=reference to spencer tracy,-0.004519277,-0.001780611,-0.003503954
keyword=agent,-0.001067512,-0.005911187,-0.007119501
keyword=swedish,-0.004519277,-0.001780611,0.011449065
keyword=locust,-0.004519277,-0.001780611,-0.003503954
keyword=selfishness,-0.004519277,-0.001780611,-0.003503954
keyword=narcolepsy,-0.004519277,-0.001780611,-0.003503954
keyword=paintball,-0.004519277,-0.001780611,-0.003503954
keyword=art director,-0.004519277,-0.001780611,-0.003503954
keyword=gulf coast,0.041655563,-0.001780611,0.026402085
keyword=split screen,-0.006391824,-0.002518402,-0.004955806
keyword=flip phone,-0.004519277,-0.001780611,-0.003503954
keyword=castle thunder,-0.006391824,-0.002518402,-0.004955806
keyword=kissing,-0.007829091,-0.00308469,-0.00607017
keyword=deception,-0.010109217,-0.003983068,-0.007838032
keyword=madea series,-0.010109217,-0.003983068,-0.007838032
keyword=guardian,0.018834985,-0.00308469,-0.00607017
keyword=adopted son,-0.004519277,-0.001780611,-0.003503954
keyword=guitar player,-0.004519277,-0.001780611,-0.003503954
keyword=mexican american,-0.004519277,-0.001780611,-0.003503954
keyword=family relationships,0.024661182,-0.011014854,-0.004636099
keyword=druid,-0.004519277,-0.001780611,-0.003503954
keyword=groundhog day,-0.004519277,-0.001780611,-0.003503954
keyword=probation,-0.004519277,-0.001780611,-0.003503954
keyword=paraplegic,0.041655563,-0.001780611,0.041355104
keyword=bodybuilder,-0.004519277,-0.001780611,-0.003503954
keyword=golden fleece,-0.004519277,-0.001780611,-0.003503954
keyword=reference to adolf hitler,-0.004519277,-0.001780611,-0.003503954
keyword=howie scream,-0.004519277,-0.001780611,-0.003503954
keyword=non statutory female on male rape,-0.006391824,-0.002518402,-0.004955806
keyword=sex standing up,-0.006391824,-0.002518402,-0.004955806
keyword=curtain call,-0.006391824,-0.002518402,-0.004955806
keyword=network marketing,-0.004519277,-0.001780611,-0.003503954
keyword=the beatles,-0.006391824,-0.002518402,-0.004955806
keyword=year 2015,-0.004519277,-0.001780611,-0.003503954
keyword=mysterious past,-0.004519277,-0.001780611,-0.003503954
keyword=environment,-0.007829091,-0.00308469,-0.00607017
keyword=weed,-0.004519277,-0.001780611,-0.003503954
keyword=sex game,-0.004519277,-0.001780611,-0.003503954
keyword=blue ribbon,-0.004519277,-0.001780611,-0.003503954
keyword=self repair,-0.004519277,-0.001780611,-0.003503954
keyword=golden gate bridge,0.041655563,-0.001780611,-0.003503954
keyword=economics,-0.006391824,-0.002518402,-0.004955806
keyword=photo booth,-0.004519277,-0.001780611,-0.003503954
keyword=high school graduation,-0.007829091,-0.00308469,-0.00607017
keyword=calorie counting,-0.004519277,-0.001780611,-0.003503954
keyword=college basketball,-0.004519277,-0.001780611,-0.003503954
keyword=rocky mountains,-0.006391824,-0.002518402,-0.004955806
keyword=chemical company,-0.004519277,-0.001780611,-0.003503954
keyword=ambiguity,-0.004519277,-0.001780611,-0.003503954
keyword=911 operator,-0.004519277,-0.001780611,-0.003503954
keyword=abusive husband,-0.010109217,-0.003983068,-0.007838032
keyword=teenage abduction,-0.004519277,-0.001780611,-0.003503954
keyword=nightclub,-0.015671468,-0.006174615,-0.012150641
keyword=tv broadcast,-0.004519277,-0.001780611,-0.003503954
